#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
SKIV2L	6	+	31926856	31937532	31926856,31927073,31927786,31927996,31928208,31928442,31928817,31928972,31929323,31929685,31930215,31930490,31930761,31931189,31931413,31931689,31932008,31933559,31934485,31934780,31935049,31935491,31935732,31936104,31936462,31936647,31937056,31937291,	31926991,31927177,31927896,31928114,31928323,31928517,31928871,31929163,31929452,31929831,31930362,31930575,31930868,31931336,31931510,31931902,31932119,31933790,31934623,31934918,31935154,31935639,31935859,31936315,31936573,31936866,31937197,31937532,
DXO	6	-	31937586	31940069	31937586,31937885,31938119,31938382,31938688,31939096,31939705,	31937801,31937980,31938255,31938602,31938924,31939458,31940069,
STK19	6	+	31939720	31949223	31939720,31940078,31940397,31946679,31947190,31948227,31948430,31948780,	31939993,31940288,31940534,31946787,31947330,31948325,31948578,31949223,
C4A	6	+	31949800	31970458	31949800,31950081,31950494,31950905,31951054,31951361,31951614,31951849,31952052,31958968,31959183,31959508,31959823,31960162,31960572,31960866,31961201,31961490,31961692,31962021,31962274,31962728,31962881,31963106,31963495,31963731,31963983,31964205,31964605,31964920,31965481,31966590,31966781,31967082,31967263,31968829,31969097,31969272,31969553,31969899,31970175,	31949949,31950280,31950696,31950976,31951143,31951444,31951711,31951955,31952185,31959084,31959363,31959691,31960009,31960321,31960699,31960941,31961399,31961602,31961763,31962161,31962484,31962780,31962971,31963316,31963571,31963888,31964100,31964377,31964838,31965088,31965541,31966684,31966968,31967173,31967338,31968932,31969187,31969371,31969637,31970032,31970458,
AL645922.1	6	-	31973944	31974881	31973944,31974843,	31973975,31974881,
C4B	6	+	31982538	32003195	31982538,31982819,31983232,31983643,31983792,31984099,31984352,31984587,31984790,31991706,31991921,31992246,31992561,31992900,31993310,31993604,31993939,31994228,31994430,31994759,31995012,31995466,31995619,31995844,31996233,31996469,31996721,31996943,31997342,31997657,31998218,31999327,31999518,31999819,32000000,32001566,32001834,32002009,32002290,32002636,32002912,	31982687,31983018,31983434,31983714,31983881,31984182,31984449,31984693,31984923,31991822,31992101,31992429,31992747,31993059,31993437,31993679,31994137,31994340,31994501,31994899,31995222,31995518,31995709,31996054,31996309,31996626,31996838,31997115,31997575,31997825,31998278,31999421,31999705,31999910,32000075,32001669,32001924,32002108,32002374,32002769,32003195,
CYP21A2	6	+	32006041	32009447	32006041,32006498,32006870,32007132,32007322,32007525,32007781,32008182,32008444,32008645,	32006401,32006588,32007025,32007234,32007424,32007612,32007982,32008361,32008548,32009447,
TNXB	6	-	32008930	32077151	32008930,32009547,32009788,32010042,32010231,32010475,32010727,32010951,32011213,32011525,32011783,32012157,32012782,32013951,32015510,32016139,32017046,32017774,32020446,32021164,32023627,32024362,32025834,32029173,32029933,32032597,32035437,32036166,32036598,32037329,32037903,32039766,32041423,32046809,32049144,32049812,32052189,32053526,32056561,32056999,32062852,32063387,32065572,32076957,	32009227,32009711,32009950,32010139,32010383,32010608,32010858,32011095,32011333,32011669,32011906,32012493,32013103,32014233,32015789,32016427,32017364,32018098,32020770,32021488,32023951,32024680,32026167,32029497,32030260,32032894,32035761,32036484,32036913,32037638,32038191,32040075,32041729,32047142,32049450,32050103,32052486,32053895,32056825,32057156,32062968,32065226,32065983,32077151,
ATF6B	6	-	32083040	32096017	32083040,32084256,32084480,32084813,32085099,32085363,32085635,32086551,32086732,32087600,32088547,32088765,32089039,32093893,32094879,32095218,32095447,32095893,	32083745,32084341,32084592,32084884,32085181,32085471,32085815,32086643,32086918,32087734,32088679,32088901,32089125,32094029,32094971,32095297,32095527,32096017,
FKBPL	6	-	32096483	32098068	32096483,32097871,	32097631,32098068,
PRRT1	6	-	32116135	32119729	32116135,32117313,32118144,32119585,	32117175,32117499,32118683,32119729,
PPT2	6	+	32121299	32131455	32121299,32122363,32122806,32123464,32123647,32125413,32125616,32130344,32130583,	32121413,32122554,32122960,32123560,32123755,32125497,32125701,32130399,32131455,
PPT2-EGFL8	6	+	32121998	32139755	32121998,32122363,32122806,32123464,32123647,32125413,32125616,32130344,32132355,32133914,32134274,32134477,32134686,32134879,32135126,32135279,32135686,32137069,32137684,32138191,32139499,	32122181,32122554,32122960,32123560,32123755,32125497,32125701,32130399,32132434,32134009,32134397,32134587,32134782,32135034,32135206,32135433,32136313,32137278,32137782,32139334,32139755,
EGFL8	6	+	32132359	32136058	32132359,32133914,32134274,32134477,32134686,32134863,32135126,32135279,32135686,	32132434,32134043,32134397,32134587,32134782,32135034,32135206,32135433,32136058,
AGPAT1	6	-	32135988	32140892	32135988,32137742,32137941,32138201,32138713,32139073,32140714,	32137225,32137815,32138037,32138377,32138847,32139282,32140892,
RNF5	6	+	32146130	32148570	32146130,32147317,32147427,32147653,32147785,32148005,	32146428,32147336,32147540,32147708,32147903,32148570,
AGER	6	-	32148744	32152101	32148744,32149127,32149382,32150023,32150344,32150617,32150890,32151100,32151331,32151657,32151947,	32149016,32149254,32149409,32150165,32150475,32150800,32150978,32151165,32151527,32151764,32152101,
PBX2	6	-	32152517	32157963	32152517,32154380,32154589,32155018,32155423,32155742,32156033,32156499,32157471,	32154251,32154467,32154678,32155172,32155559,32155933,32156281,32156573,32157963,
GPSM3	6	-	32158542	32160683	32158542,32159485,32159924,32160248,	32159280,32159685,32160027,32160683,
NOTCH4	6	-	32162619	32191844	32162619,32164100,32164701,32165075,32166197,32166425,32166702,32168607,32168893,32169852,32171546,32171913,32178528,32180250,32180600,32180911,32181464,32181886,32183002,32184721,32184929,32185771,32187368,32187905,32188181,32188532,32188754,32190287,32190781,32191632,	32163927,32164198,32164849,32165371,32166336,32166507,32166922,32168783,32169277,32170376,32171659,32172166,32178713,32180404,32180688,32181029,32181617,32182032,32183162,32184844,32185043,32185885,32187563,32188061,32188418,32188655,32189102,32190583,32190863,32191844,
C6orf10	6	-	32260474	32339656	32260474,32267698,32268456,32270385,32290262,32290893,32291367,32298365,32299810,32303213,32303688,32304391,32306755,32307376,32317516,32322900,32323425,32333943,32334049,32335701,32336558,32337673,32339470,	32261812,32267713,32268477,32270406,32290283,32290914,32291391,32298386,32299831,32303234,32303709,32304412,32306776,32307415,32317606,32322921,32323446,32333964,32334079,32335734,32336591,32337760,32339656,
BTNL2	6	-	32361739	32374905	32361739,32362520,32363815,32369561,32370711,32372715,32374821,	32361834,32362802,32364163,32369582,32370993,32373063,32374905,
HLA-DRA	6	+	32407618	32412823	32407618,32410224,32410961,32411532,32412428,	32407809,32410470,32411243,32411698,32412823,
HLA-DRB5	6	-	32485119	32498064	32485119,32485830,32486332,32487146,32489681,32497901,	32485529,32485854,32486443,32487428,32489951,32498064,
HLA-DRB1	6	-	32546545	32557625	32546545,32548023,32548522,32549333,32551885,32557419,	32546881,32548047,32548633,32549615,32552155,32557625,
HLA-DQA1	6	+	32605133	32611429	32605133,32609086,32609748,32610386,32610728,	32605317,32609335,32610030,32610561,32611429,
HLA-DQB1	6	-	32627243	32634471	32627243,32629123,32629743,32632574,32634275,	32628026,32629234,32630025,32632844,32634471,
HLA-DQA2	6	+	32709118	32714992	32709118,32712935,32713567,32714016,32714358,	32709302,32713184,32713849,32714191,32714992,
HLA-DQB2	6	-	32723874	32731311	32723874,32725057,32725549,32726626,32729436,32731150,	32724243,32725081,32725660,32726908,32729703,32731311,
HLA-DOB	6	-	32780539	32784825	32780539,32781216,32781499,32782096,32782820,32784637,	32781028,32781248,32781610,32782378,32783090,32784825,
XXbac-BPG246D15.9	6	-	32781543	32806599	32781543,32782096,32782820,32784637,32797176,32797706,32798043,32798394,32800109,32800403,32802930,32803419,32805313,32805517,32806429,	32781610,32782378,32782978,32784729,32797313,32797866,32798217,32798583,32800238,32800601,32803136,32803550,32805428,32806014,32806599,
TAP2	6	-	32793191	32806557	32793191,32797176,32797706,32798043,32798394,32800109,32800403,32802930,32803419,32805313,32805517,32806429,	32796811,32797313,32797866,32798217,32798583,32800238,32800601,32803136,32803550,32805428,32806014,32806557,
PSMB8	6	-	32808493	32811824	32808493,32809307,32809910,32810448,32810718,32811626,	32808824,32809512,32810040,32810560,32810866,32811824,
TAP1	6	-	32812985	32821755	32812985,32814844,32815289,32815695,32816428,32816766,32818096,32818720,32819885,32820164,32820815,	32813562,32814981,32815452,32815869,32816617,32816895,32818294,32818926,32820016,32820279,32821755,
PSMB9	6	+	32821937	32827362	32821937,32823914,32825039,32825781,32826140,32827181,	32822066,32823982,32825171,32825911,32826282,32827362,
HLA-DMB	6	-	32902405	32908847	32902405,32903118,32903312,32904948,32906460,32908529,	32902764,32903154,32903429,32905233,32906742,32908847,
XXbac-BPG181M17.5	6	-	32905140	32920899	32905140,32906460,32908529,32920725,	32905233,32906742,32908592,32920899,
HLA-DMA	6	-	32916389	32920899	32916389,32917047,32917387,32918295,32920725,	32916645,32917176,32917666,32918580,32920899,
BRD2	6	+	32936436	32949282	32936436,32939371,32942238,32943160,32943807,32944026,32944338,32945218,32945533,32945902,32947604,32948118,32948358,	32936833,32940704,32942542,32943298,32943946,32944241,32944713,32945347,32945782,32946165,32947909,32948241,32949282,
HLA-DOA	6	-	32971954	32977389	32971954,32974856,32975087,32975789,32977231,	32974618,32974992,32975369,32976038,32977389,
HLA-DPA1	6	-	33032345	33048487	33032345,33036414,33036795,33037417,33041247,33048456,	33033124,33036581,33037077,33037663,33041446,33048487,
HLA-DPB1	6	+	33043702	33054978	33043702,33048448,33052726,33053555,33053995,33054315,	33043918,33048712,33053008,33053666,33054019,33054978,
COL11A2	6	-	33130457	33160276	33130457,33132043,33132628,33133325,33133707,33133947,33134289,33134496,33134846,33135040,33135202,33135575,33136295,33136482,33136731,33137159,33137607,33137823,33138102,33138333,33138586,33138890,33139047,33139243,33139489,33139826,33140065,33140306,33140836,33141124,33141278,33141477,33141649,33141787,33141941,33142303,33143350,33143792,33144035,33144209,33144497,33144768,33144957,33145188,33145438,33145908,33146084,33146211,33146455,33146696,33146849,33147007,33147207,33147495,33148034,33148444,33148740,33148887,33152768,33154403,33156138,33156754,33157096,33159935,	33131595,33132250,33132741,33133593,33133761,33133983,33134343,33134604,33134900,33135094,33135310,33135629,33136349,33136536,33136785,33137267,33137661,33137877,33138156,33138387,33138694,33138944,33139101,33139351,33139597,33139880,33140155,33140414,33140890,33141178,33141332,33141522,33141703,33141832,33141995,33142357,33143458,33143846,33144080,33144263,33144542,33144822,33145002,33145242,33145483,33145962,33146129,33146265,33146509,33146750,33146903,33147061,33147264,33147582,33148109,33148507,33148782,33148947,33152831,33154595,33156301,33156965,33157246,33160276,
RXRB	6	-	33161364	33168465	33161364,33162721,33163139,33163346,33163683,33164210,33165538,33166084,33166945,33168018,	33162606,33162827,33163231,33163479,33163813,33164383,33165718,33166241,33167193,33168465,
SLC39A7	6	+	33168602	33172216	33168602,33169018,33169521,33169848,33170039,33170336,33170686,33171317,	33168715,33169433,33169690,33169902,33170204,33170477,33170883,33172216,
HSD17B8	6	+	33172418	33174608	33172418,33172678,33172997,33173223,33173416,33173604,33173910,33174151,33174414,	33172497,33172896,33173114,33173316,33173502,33173689,33173953,33174226,33174608,
RING1	6	+	33176271	33180499	33176271,33176541,33177402,33177691,33178934,33179505,33180074,	33176421,33176677,33177563,33177907,33179324,33179779,33180499,
VPS52	6	-	33218048	33239671	33218048,33219294,33219636,33231260,33231548,33231784,33232150,33232558,33234333,33234964,33235458,33235641,33235884,33236275,33236790,33237266,33237520,33237775,33237975,33239362,	33218764,33219413,33219748,33231326,33231656,33231880,33232274,33232677,33234489,33235098,33235516,33235774,33235985,33236426,33236966,33237334,33237596,33237828,33238060,33239671,
RPS18	6	+	33239786	33244287	33239786,33240404,33243573,33243741,33243952,33244167,	33239899,33240503,33243660,33243843,33244044,33244287,
B3GALT4	6	+	33244908	33246602	33244908,	33246602,
WDR46	6	-	33246884	33257304	33246884,33247273,33247540,33248204,33248450,33254571,33254867,33255131,33255390,33255741,33255924,33256134,33256390,33256580,33256878,	33247151,33247387,33247636,33248299,33248764,33254671,33255003,33255282,33255495,33255803,33256012,33256247,33256471,33256790,33257304,
PFDN6	6	+	33257078	33258710	33257078,33257546,33257950,33258102,33258492,	33257397,33257697,33258021,33258227,33258710,
RGL2	6	-	33259430	33267101	33259430,33260206,33260792,33261189,33261380,33261571,33261810,33262464,33262753,33262903,33263095,33263284,33263804,33264190,33264374,33264808,33266231,33266646,	33260090,33260321,33261083,33261301,33261476,33261693,33261843,33262539,33262822,33262988,33263199,33263536,33264102,33264241,33264553,33264892,33266428,33267101,
TAPBP	6	-	33271349	33281989	33271349,33271904,33272073,33272765,33280993,33281470,33281781,	33271766,33271994,33272415,33273164,33281254,33281641,33281989,
ZBTB22	6	-	33282182	33285719	33282182,33285654,	33284762,33285719,
DAXX	6	-	33286334	33290787	33286334,33286773,33287156,33287787,33288156,33288512,33289495,33290638,	33286579,33286996,33287631,33288001,33288368,33289344,33289751,33290787,
KIFC1	6	+	33359312	33377701	33359312,33365805,33366064,33371090,33371261,33371505,33372628,33373972,33374368,33374576,33377422,	33359774,33365943,33366164,33371144,33371312,33371906,33373408,33374263,33374442,33374652,33377701,
PHF1	6	+	33378737	33384230	33378737,33380024,33380284,33380474,33380972,33381185,33381512,33381817,33382019,33382253,33382501,33382731,33383011,33383366,33383586,	33378992,33380199,33380366,33380570,33381073,33381334,33381608,33381886,33382143,33382321,33382606,33382921,33383106,33383447,33384230,
CUTA	6	-	33384318	33386065	33384318,33384696,33384873,33385027,33385257,	33384553,33384746,33384919,33385087,33386065,
SYNGAP1	6	+	33387846	33425318	33387846,33391253,33393574,33399937,33400461,33402928,33403291,33405444,33406195,33406551,33408505,33408949,33409357,33410229,33410665,33412220,33414351,33415619,33419536,	33388108,33391375,33393680,33400029,33400583,33403082,33403390,33406068,33406340,33406696,33408742,33409151,33409536,33410271,33411737,33412394,33414563,33415710,33425318,
ZBTB9	6	+	33422355	33425325	33422355,33422806,	33422552,33425325,
BAK1	6	-	33540328	33548019	33540328,33541810,33543074,33543569,33545311,33547801,	33541684,33541991,33543218,33543705,33545412,33548019,
ITPR3	6	+	33588141	33664351	33588141,33588391,33608260,33623542,33625708,33626446,33626797,33627242,33630304,33630687,33631276,33631514,33632646,33632829,33633611,33634905,33635568,33636291,33636750,33638101,33638447,33638941,33639805,33641367,33641984,33643467,33644544,33644791,33645280,33646197,33646415,33647658,33648105,33648331,33650300,33650983,33651796,33652133,33652374,33652550,33653135,33653419,33653829,33654185,33654785,33655002,33655254,33655833,33656015,33656432,33657014,33657810,33658693,33659391,33659577,33660504,33661321,33662700,33663488,	33588213,33589468,33608331,33623664,33625795,33626605,33626896,33627326,33630451,33630783,33631327,33631657,33632746,33632990,33633753,33635067,33635741,33636411,33636933,33638353,33638592,33639083,33640005,33641497,33642042,33643633,33644709,33644866,33645406,33646320,33646616,33647910,33648231,33648457,33650421,33651174,33651945,33652242,33652465,33652720,33653310,33653604,33654030,33654296,33654881,33655104,33655341,33655944,33656208,33656558,33657187,33657975,33658886,33659496,33659705,33660670,33661482,33662862,33664351,
SBP1	6	-	33663195	33663474	33663195,	33663474,
UQCC2	6	-	33664537	33679504	33664537,33668220,33669122,33679325,	33665527,33668290,33669197,33679504,
IP6K3	6	-	33689446	33714682	33689446,33693217,33694507,33695863,33703054,33714534,	33690964,33693393,33694683,33696077,33703432,33714682,
LEMD2	6	-	33738978	33756913	33738978,33744730,33744914,33746018,33747876,33748853,33752128,33754510,33756157,	33740555,33744833,33745016,33746164,33747956,33748930,33752204,33754551,33756913,
MLN	6	-	33762449	33771788	33762449,33763279,33766881,33768823,33771729,	33762612,33763382,33766998,33768947,33771788,
GRM4	6	-	33989627	34113857	33989627,33995896,34003444,34007954,34008324,34024320,34026750,34029669,34059659,34100754,34113776,	33990647,33996143,34004380,34008091,34008525,34024461,34026905,34029805,34059876,34101636,34113857,
HMGA1	6	+	34204649	34214007	34204649,34208513,34210488,34211244,34212607,	34205094,34208692,34210572,34211295,34214007,
C6orf1	6	-	34214156	34217247	34214156,34214820,34215243,34215457,34216755,	34214645,34214926,34215269,34215641,34217247,
NUDT3	6	-	34247455	34360451	34247455,34261227,34263417,34309638,34360040,	34256708,34261312,34263462,34309749,34360451,
RPS10-NUDT3	6	-	34256546	34393825	34256546,34261227,34263417,34309638,34386145,34389506,34392445,34392848,34393808,	34256708,34261312,34263462,34309749,34386201,34389584,34392617,34392998,34393825,
